        ***************************************************************
        **                                                           **
        **                  FLUTTER SUMMARY                          **
        **                                                           **
        ***************************************************************




PARAMETERS USED FOR AEROELASTIC ANALYSIS

AEROELASTIC BASE SIZE:                        14
REDUCED FREQUENCIES NUMBER:                   5


REDUCED FREQUENCY LIST:

0.00100  
0.01000  
0.10000  
0.60000  
1.00000  


REFERENCE CHORD:                          2.194500e+00
REFERENCE DENSITY:                             1.225000e+00
STRUCTURAL DAMPING:                            0


                    FREQUENCY SWEEP

DELTA V:                                       6.8
MAXIMUM VELOCITY:                              340
MAXIMUM DELTA V:                               10
MINIMUM DELTA V:                               0.01
CONVERGENCE CRITERION (%):                     0.001 
ERROR CRITERION FOR STEP INCREASING (%):       0.001 
MAXIMUM NUMBER OF ITERATIONS FOR FIRST STEP:   100 
MAXIMUM NUMBER OF ITERATIONS DURING SWEEP:     101 




MODE NUMBER: 7, OMEGA: 0.729207.

Reduced Frequency   Velocity            Damping             Frequency           Real(Eig)           Imag(Eig)           Damp_Vder           Freq_Vder
0.490252            73.600000           -0.007296           2.616870            -0.009547           16.442277           -0.000008           0.000028            
0.431659            83.600000           -0.008317           2.617169            -0.010883           16.444155           -0.000008           0.000031            
0.385590            93.600000           -0.009357           2.617494            -0.012246           16.446202           -0.000008           0.000034            
0.348417            103.600000          -0.010387           2.617841            -0.013596           16.448382           -0.000008           0.000036            
0.317790            113.600000          -0.011387           2.618205            -0.014907           16.450669           -0.000008           0.000037            
0.292121            123.600000          -0.012348           2.618583            -0.016167           16.453043           -0.000007           0.000038            
0.270296            133.600000          -0.013265           2.618972            -0.017371           16.455487           -0.000007           0.000039            
0.251512            143.600000          -0.014138           2.619371            -0.018516           16.457991           -0.000007           0.000040            
0.235174            153.600000          -0.014968           2.619777            -0.019607           16.460547           -0.000006           0.000041            
0.220834            163.600000          -0.015761           2.620192            -0.020648           16.463154           -0.000006           0.000042            
0.208146            173.600000          -0.016521           2.620615            -0.021647           16.465810           -0.000006           0.000043            
0.196842            183.600000          -0.017256           2.621047            -0.022614           16.468522           -0.000006           0.000044            
0.186706            193.600000          -0.017973           2.621488            -0.023557           16.471295           -0.000006           0.000045            
0.177566            203.600000          -0.018681           2.621941            -0.024490           16.474141           -0.000006           0.000046            
0.169283            213.600000          -0.019390           2.622408            -0.025424           16.477073           -0.000006           0.000047            
0.161742            223.600000          -0.020110           2.622891            -0.026373           16.480108           -0.000006           0.000049            
0.154848            233.600000          -0.020854           2.623393            -0.027354           16.483265           -0.000006           0.000051            
0.148521            243.600000          -0.021634           2.623919            -0.028384           16.486568           -0.000006           0.000054            
0.142695            253.600000          -0.022468           2.624472            -0.029483           16.490042           -0.000007           0.000057            
0.137312            263.600000          -0.023372           2.625057            -0.030676           16.493719           -0.000008           0.000060            
0.132325            273.600000          -0.024368           2.625680            -0.031992           16.497631           -0.000008           0.000064            
0.127691            283.600000          -0.025482           2.626346            -0.033463           16.501818           -0.000009           0.000069            
0.123376            293.600000          -0.026745           2.627063            -0.035131           16.506321           -0.000011           0.000074            
0.119347            303.600000          -0.028195           2.627837            -0.037045           16.511189           -0.000012           0.000081            
0.115578            313.600000          -0.029877           2.628678            -0.039268           16.516473           -0.000014           0.000088            
0.112046            323.600000          -0.031848           2.629595            -0.041874           16.522232           -0.000017           0.000096            
0.108729            333.600000          -0.034181           2.630597            -0.044958           16.528527           -0.000020           0.000105            
0.106710            340.000000          -0.035900           2.631287            -0.047232           16.532867           -0.000023           0.000111            


MODE NUMBER: 13, OMEGA: 2.834264.

Reduced Frequency   Velocity            Damping             Frequency           Real(Eig)           Imag(Eig)           Damp_Vder           Freq_Vder

5.746496            6.800000            -0.011832           2.833979            -0.016766           17.806413           -0.000137           -0.000029           
2.873134            13.600000           -0.023417           2.833866            -0.033180           17.805707           -0.000134           -0.000004           
1.655790            23.600000           -0.040024           2.834013            -0.056714           17.806631           -0.000130           0.000034            
1.163212            33.600000           -0.056155           2.834540            -0.079587           17.809937           -0.000127           0.000072            
0.896711            43.600000           -0.071840           2.835460            -0.101850           17.815723           -0.000123           0.000116            
0.729807            53.600000           -0.087041           2.836988            -0.123468           17.825324           -0.000119           0.000194            
0.615580            63.600000           -0.101696           2.839396            -0.144378           17.840449           -0.000114           0.000290            
0.532576            73.600000           -0.115818           2.842786            -0.164623           17.861750           -0.000111           0.000386            
0.469579            83.600000           -0.129592           2.847077            -0.184480           17.888710           -0.000109           0.000471            
0.420161            93.600000           -0.143190           2.852172            -0.204201           17.920725           -0.000108           0.000548            
0.380382            103.600000          -0.156713           2.858013            -0.223945           17.957423           -0.000108           0.000620            
0.347692            113.600000          -0.170225           2.864559            -0.243810           17.998554           -0.000108           0.000689            
0.320368            123.600000          -0.183761           2.871783            -0.263862           18.043943           -0.000108           0.000756            
0.297201            133.600000          -0.197343           2.879662            -0.284141           18.093453           -0.000108           0.000820            
0.277323            143.600000          -0.210978           2.888180            -0.304671           18.146972           -0.000109           0.000883            
0.260088            153.600000          -0.224664           2.897320            -0.325462           18.204399           -0.000109           0.000945            
0.245012            163.600000          -0.238393           2.907067            -0.346512           18.265640           -0.000109           0.001005            
0.231720            173.600000          -0.252150           2.917406            -0.367812           18.330603           -0.000110           0.001063            
0.219918            183.600000          -0.265916           2.928322            -0.389344           18.399190           -0.000110           0.001120            
0.209376            193.600000          -0.279668           2.939799            -0.411084           18.471301           -0.000109           0.001175            
0.199907            203.600000          -0.293377           2.951820            -0.432998           18.546830           -0.000109           0.001229            
0.191358            213.600000          -0.307013           2.964366            -0.455049           18.625661           -0.000108           0.001280            
0.183605            223.600000          -0.320541           2.977418            -0.477192           18.707669           -0.000107           0.001330            
0.176544            233.600000          -0.333923           2.990954            -0.499374           18.792719           -0.000106           0.001377            
0.170089            243.600000          -0.347118           3.004951            -0.521536           18.880665           -0.000104           0.001422            
0.164166            253.600000          -0.360082           3.019384            -0.543612           18.971347           -0.000102           0.001464            
